id_cachet,id_acteur,id_role,id_mois,montant
s4549,9,2,6,858
s7465,9,3,4,1363
s2325,9,3,1,1212
s1041,10,4,12,921
s4365,10,3,7,1178
s4271,10,3,7,1331
s4964,10,5,10,1280
s407,10,5,6,711
s5142,10,2,9,1182
s7176,10,1,5,1072
s1918,10,1,3,1052
s2365,10,5,12,1258
s4685,10,4,10,727
s6019,10,2,8,1182
s6961,10,1,5,1056
s3482,10,1,12,1056
s7109,10,1,9,1031
s5733,10,1,11,1033
s4087,10,3,5,1324
s6830,10,3,6,1382
s2959,10,4,12,1112
s5446,10,4,11,1159
s6601,10,2,2,860
s6319,10,2,4,941
s2919,11,4,1,1177
s3297,11,5,4,1033
s89,11,2,1,1094
s3257,11,4,1,1058
s2951,11,5,8,939
s5099,11,5,5,744
s6908,11,1,12,1009
s7365,11,4,3,857
s1447,11,5,4,748
s1681,11,1,12,1021
s1344,11,5,2,1106
s2388,11,5,12,935
s3062,11,1,1,1035
s3833,11,2,12,1118
s1860,11,1,7,1068
s2231,11,2,9,994
s4450,11,3,1,1126
s6602,11,1,6,1046
s1767,11,2,8,892
s865,11,3,12,1169
s2126,11,4,2,871
s6412,11,5,11,1034
s3038,12,5,1,715
s234,12,5,9,1082
s6967,12,5,10,779
s607,12,3,12,1111
s5330,12,1,11,1014
s5844,12,5,3,1222
s6037,12,1,6,1033
s6726,12,5,2,703
s2115,12,5,7,965
s5517,12,4,6,992
s6995,12,2,7,1175
s2372,12,1,7,1100
s4451,12,1,1,1001
s7330,12,5,9,1104
s7408,12,4,1,971
s6659,12,3,11,1378
s5020,13,5,6,1252
s2244,13,5,9,1234
s1120,13,4,8,990
s3662,13,5,8,1023
s6229,13,1,3,1073
s4860,13,3,2,1152
s6550,13,3,4,1147
s4332,13,2,3,917
s4536,13,4,1,847
s5812,13,2,4,965
s4403,13,5,5,867
s4713,13,4,4,962
s7943,14,4,4,952
s2433,14,1,6,1074
s6121,14,4,6,1287
s7467,14,4,10,1158
s3332,14,2,3,957
s3519,14,5,6,1018
s1855,14,3,7,1104
s4956,14,5,7,1247
s5013,14,3,7,1355
s3337,14,1,4,1024
s4565,14,2,4,814
s6696,14,5,8,1011
s6603,14,5,1,800
s4567,14,2,9,857
s6350,14,5,11,1210
s5675,14,5,8,1003
s6650,14,5,2,811
s4501,14,4,6,1098
s6167,14,1,6,1027
s2763,14,1,8,1031
s6719,15,1,8,1016
s1585,15,3,12,1141
s7773,15,5,11,993
s2407,15,2,9,1120
s271,15,4,10,1022
s412,15,5,1,1225
s6325,15,3,1,1184
s4684,15,4,2,750
s890,15,5,4,1106
s5389,15,3,11,1397
s5650,15,1,6,1046
s3954,15,2,1,1138
s2041,15,5,10,1115
s6429,15,2,2,936
s6884,16,3,1,1267
s221,16,5,6,802
s2351,16,5,11,900
s4983,16,2,2,1135
s6572,16,3,10,1241
s3060,16,3,1,1140
s7530,16,2,8,1106
s2673,16,5,3,784
s5950,16,4,6,990
s2432,17,1,12,1078
s581,17,3,11,1156
s2694,17,4,4,737
s4882,17,3,10,1101
s7441,17,1,3,1079
s4824,17,5,4,731
s4506,17,5,4,759
s7553,17,5,2,783
s1449,17,5,6,795
s2857,17,1,4,1098
s1043,17,5,8,841
s4383,17,2,8,881
s3521,17,3,10,1155
s1569,17,2,8,979
s4300,17,5,4,932
s5086,17,1,8,1032
s1766,17,4,8,726
s2811,18,2,1,870
s3714,18,5,6,1052
s2507,18,2,2,1085
s4689,18,3,7,1388
s2523,18,2,5,859
s3161,18,3,12,1184
s2718,18,2,9,828
s6467,18,4,5,1291
s2210,18,5,9,854
s1832,18,3,11,1275
s62,18,2,7,802
s560,18,2,8,1152
s7670,18,4,9,1006
s6298,18,4,4,1207
s7050,18,4,5,799
s148,19,5,1,1141
s3147,19,4,12,757
s4184,19,1,2,1034
s3650,19,3,9,1254
s722,19,5,6,902
s5657,19,1,4,1043
s3925,19,2,1,1183
s7135,19,5,11,1169
s594,19,2,3,930
s578,19,2,11,1020
s3110,19,3,7,1192
s3731,19,2,1,1151
s2162,19,4,4,1140
s7596,19,4,9,1000
s5045,19,1,10,1095
s1611,19,3,6,1239
s5087,19,5,10,862
s5336,19,3,6,1165
s5996,19,1,8,1082
s3931,20,3,2,1177
s7436,20,3,12,1388
s2568,20,5,7,1112
s4377,20,1,3,1002
s2997,20,2,5,1126
s161,20,4,6,1036
s1656,20,4,6,1193
s2740,20,4,3,1191
s1488,20,1,6,1050
s5999,20,4,11,1236
s245,20,5,4,844
s3395,20,5,10,1187
s878,20,3,9,1294
s4276,20,2,7,972
s5944,20,1,4,1041
s5315,20,3,10,1370
s5228,20,2,6,918
s194,21,3,5,1239
s4254,21,4,7,787
s3657,21,4,5,1107
s7052,21,3,5,1104
s7288,21,4,8,1170
s4467,21,4,9,793
s7660,21,1,3,1022
s3379,21,1,1,1098
s3446,21,2,7,1093
s3859,21,4,12,1098
s6843,21,5,8,1279
s1671,21,2,7,931
s783,21,1,1,1087
s1163,21,5,10,856
s3171,21,1,8,1005
s4833,21,2,2,1100
s2266,22,5,7,1103
s4153,22,1,12,1063
s4831,22,3,5,1272
s3569,22,2,7,1035
s3986,22,2,1,825
s7491,22,4,1,1248
s6510,22,1,6,1019
s5239,22,4,2,787
s6725,22,4,5,849
s2609,22,2,8,868
s5581,22,1,10,1091
s6814,22,5,1,1080
s2019,22,3,3,1197
s5531,22,3,8,1352
s1071,22,2,8,909
s4589,22,1,7,1044
s7327,22,1,10,1070
s5608,22,1,6,1034
s224,22,2,5,826
s3350,22,1,2,1070
s4348,23,5,9,1061
s2113,23,2,6,1032
s655,23,5,2,834
s5257,23,5,3,825
s7948,23,1,2,1048
s7621,23,4,10,966
s6680,23,4,6,812
s1296,23,2,1,928
s2265,23,2,9,1071
s6437,23,2,8,1095
s4180,23,5,1,1036
s802,23,2,12,1049
s2519,23,3,9,1242
s6478,23,5,5,743
s6253,23,3,7,1147
s3427,23,5,4,782
s6494,23,4,7,811
s891,23,2,6,1078
s5420,23,3,2,1376
s1605,23,5,5,1283
s5522,24,2,12,971
s309,24,5,3,1220
s6018,24,1,1,1014
s549,24,5,12,962
s6063,24,1,6,1005
s2154,24,4,2,1295
s7989,24,1,8,1050
s3816,24,4,5,778
s4862,24,1,11,1091
s7043,24,4,2,978
s5249,24,3,10,1238
s1800,24,3,6,1367
s1297,24,1,1,1050
s625,25,5,1,1188
s368,25,4,6,1067
s4157,25,2,9,1042
s4393,25,1,11,1016
s5636,25,5,3,844
s1737,25,3,3,1365
s6174,25,1,3,1014
s3968,25,1,6,1007
s2627,25,5,2,747
s6451,25,4,4,876
s464,25,5,6,1268
s6431,25,2,9,1134
s6526,25,4,1,972
s487,25,4,6,733
s5488,25,1,7,1003
s109,25,5,7,785
s2917,25,1,2,1068
s1208,25,1,12,1080
s3462,26,2,2,1162
s1213,26,1,10,1039
s6263,26,1,7,1005
s7692,26,3,6,1181
s7191,26,4,7,1021
s2470,26,2,6,997
s2155,26,5,7,1057
s3805,26,4,3,1112
s6619,26,2,3,864
s1274,26,4,11,1249
s518,26,4,5,801
s2566,26,2,11,910
s7985,26,3,2,1151
s1551,27,2,1,943
s7207,27,3,12,1154
s4479,27,1,9,1034
s7345,27,2,6,818
s6618,27,1,9,1024
s5255,27,2,8,834
s1814,27,4,6,828
s4630,27,5,3,882
s3031,27,4,8,849
s2468,27,5,6,1130
s7856,27,3,10,1288
s6931,27,4,6,828
s5616,27,3,7,1177
s2390,27,5,6,1237
s1702,28,3,5,1316
s4493,28,4,5,891
s4580,28,1,4,1061
s1417,28,1,3,1036
s2858,28,2,7,992
s3418,28,3,10,1175
s6366,28,1,11,1012
s5062,28,5,11,1270
s1787,28,1,2,1076
s1818,28,1,11,1051
s292,28,5,11,1221
s6835,28,4,5,823
s1500,28,2,3,1118
s6143,28,4,2,844
s4803,28,5,12,790
s1139,28,4,7,817
s6385,28,1,5,1061
s2707,28,2,7,1030
s5970,29,1,11,1068
s3254,29,2,12,1058
s6245,29,5,7,1258
s5535,29,4,2,1000
s3513,29,1,12,1002
s1857,29,1,1,1079
s5282,29,3,3,1211
s1603,29,3,10,1212
s800,29,3,6,1204
s7439,29,3,3,1286
s4927,29,2,4,960
s7506,29,4,12,888
s1859,29,3,9,1239
s2737,30,5,11,870
s6885,30,4,9,1171
s1944,30,2,5,911
s231,30,3,9,1188
s7699,30,5,6,712
s3520,30,4,9,1244
s272,30,1,8,1086
s2312,30,2,4,858
s3977,30,3,12,1170
s5497,30,1,3,1083
s2869,30,3,7,1229
s1580,30,1,7,1094
s6508,30,1,5,1035
s656,30,2,2,1031
s2120,30,3,1,1134
s2687,30,2,5,1160
s7595,30,2,9,1013
s5759,30,4,9,712
s1548,30,3,9,1155
s3694,30,1,4,1089
s7497,30,3,8,1232
s5543,31,3,6,1127
s1320,31,2,11,1120
s1903,31,3,7,1285
s4693,31,3,6,1203
s3817,31,2,9,911
s6458,31,4,1,976
s2043,31,3,4,1342
s751,31,3,1,1233
s5501,31,5,7,798
s4735,31,1,12,1053
s1069,31,1,10,1002
s3713,31,3,7,1228
s7003,31,5,10,755
s5439,31,3,3,1344
s5506,31,3,10,1285
s6388,31,4,1,1081
s1835,32,4,8,1041
s6609,32,5,8,869
s2931,32,2,8,808
s222,32,1,3,1015
s3787,32,3,8,1143
s176,32,1,1,1028
s3276,32,5,9,750
s5993,32,4,7,1087
s3864,32,5,7,946
s3683,32,1,6,1096
s614,32,2,4,883
s3295,32,1,6,1050
s3648,32,5,1,1299
s3003,32,3,1,1144
s7662,33,2,9,933
s6397,33,5,11,904
s4268,33,5,4,855
s2055,33,2,1,950
s1993,33,4,1,1011
s6679,33,5,5,953
s4856,33,1,9,1033
s1337,33,4,11,927
s3274,34,4,8,1294
s2914,34,2,11,811
s152,34,2,11,875
s4895,34,1,2,1062
s2616,34,3,7,1204
s5482,34,3,10,1400
s4600,34,2,12,865
s3888,34,2,8,1195
s4885,34,4,11,878
s2893,34,1,5,1003
s7018,34,3,3,1221
s634,34,5,8,1242
s2579,34,1,7,1071
s2122,34,3,7,1366
s5858,34,5,8,912
s7332,34,2,12,811
s1053,34,5,11,1117
s2521,34,4,4,790
s7276,34,2,12,1063
s657,35,1,3,1087
s7711,35,2,9,952
s1691,35,3,5,1131
s2337,35,4,11,1042
s835,35,1,6,1049
s6081,35,1,10,1022
s3116,35,5,7,713
s979,35,2,9,1078
s3478,35,1,9,1044
s7557,35,4,12,1208
s4873,35,1,2,1086
s7382,35,2,12,1017
s7024,35,1,1,1089
s7226,36,5,6,738
s2150,36,4,7,1071
s5589,36,3,11,1311
s7093,36,2,11,833
s7972,36,3,10,1382
s1340,36,3,12,1355
s5211,36,5,10,793
s3692,36,2,4,987
s3800,36,4,3,863
s3204,36,3,10,1308
s6422,36,3,2,1145
s6165,36,1,11,1083
s7081,36,3,2,1265
s6106,36,3,6,1194
s4785,36,5,4,709
s2597,37,1,2,1010
s3821,37,1,3,1026
s2413,37,2,2,828
s6047,37,3,9,1382
s4717,37,3,1,1375
s6660,37,3,3,1306
s6061,37,3,11,1273
s82,37,5,8,1132
s7781,37,4,7,1274
s5977,37,1,3,1026
s4262,37,1,5,1075
s4381,38,3,9,1155
s6933,38,3,10,1121
s6297,38,4,1,983
s7242,38,5,6,877
s2295,38,2,12,1166
s6150,38,2,10,1041
s2555,38,3,1,1352
s48,38,1,5,1063
s12,38,2,4,1003
s6315,38,4,12,1130
s5604,38,3,4,1397
s6949,38,2,10,801
s2729,38,1,9,1034
s5301,39,4,12,1071
s3799,39,3,6,1145
s6256,39,4,5,1071
s1226,39,1,1,1100
s1128,39,5,3,879
s7887,39,3,3,1150
s7981,39,2,5,981
s7009,39,4,12,1089
s349,39,4,11,954
s3881,39,4,6,845
s7608,39,3,4,1271
s5598,40,2,11,969
s1491,40,3,6,1272
s1202,40,5,3,952
s7053,40,1,9,1057
s6886,40,2,3,1035
s950,40,2,12,830
s2358,40,1,3,1003
s2936,40,1,5,1045
s3745,40,2,3,1012
s4864,40,5,7,896
s2382,40,4,1,1175
s5860,40,4,9,1225
s5493,40,5,7,1027
s6254,40,3,6,1340
s3855,40,4,1,962
s4110,40,3,4,1213
s5867,40,4,10,1183
s3666,41,2,4,872
s5966,41,5,7,1109
s6065,41,5,3,1154
s1442,41,2,6,982
s5065,41,1,1,1090
s6309,41,3,9,1243
s7423,41,4,8,1106
s5644,41,2,6,1028
s2545,41,5,1,1223
s364,41,4,5,813
s6238,41,5,12,851
s809,41,1,4,1086
s2203,41,2,8,933
s6282,41,5,4,999
s773,41,3,3,1139
s4273,42,3,7,1389
s1236,42,1,2,1043
s7616,42,5,8,1218
s6720,42,2,7,851
s5538,42,1,1,1008
s2876,42,4,7,956
s4821,42,2,5,841
s3364,42,4,10,814
s3506,42,1,8,1028
s4411,42,5,4,1202
s5109,42,2,7,906
s4189,42,4,12,722
s214,42,4,3,1052
s6358,43,3,10,1269
s6137,43,1,4,1011
s14,43,3,4,1199
s7200,43,3,12,1395
s838,43,4,8,871
s5413,43,2,4,1127
s3921,43,3,11,1369
s2199,43,1,12,1003
s4057,43,2,1,1040
s6974,43,5,5,1191
s3073,43,2,5,1049
s3623,43,1,7,1043
s4581,43,3,4,1148
s6452,43,1,6,1054
s7927,43,5,10,808
s6231,43,1,4,1032
s3647,43,4,1,989
s6681,43,3,8,1303
s5927,43,5,12,1083
s2207,43,5,1,1135
s709,43,4,2,1171
s6322,43,1,2,1076
s3775,43,5,7,1265
s1848,43,3,10,1194
s559,43,2,6,940
s730,44,3,4,1115
s1613,44,3,9,1397
s6872,44,5,10,996
s1486,44,4,7,1198
s5378,44,4,3,1166
s3416,44,3,5,1283
s2583,44,5,12,1300
s747,44,1,2,1030
s7930,44,3,1,1338
s3410,44,5,3,1036
s4165,44,3,6,1334
s7360,44,3,8,1197
s505,45,5,9,720
s6230,45,4,2,1037
s4870,45,2,4,1036
s7619,45,1,11,1078
s2752,45,1,1,1100
s2254,45,5,2,1026
s7645,45,5,5,735
s4503,45,3,9,1215
s6172,45,2,2,1184
s1713,45,1,8,1014
s3097,45,2,4,984
s1753,45,3,9,1202
s4156,45,5,8,949
s4005,46,5,11,990
s6005,46,5,7,1184
s3778,46,3,7,1188
s4534,46,4,11,1109
s7199,46,2,9,1064
s3603,46,1,7,1022
s4554,46,3,8,1210
s5430,46,1,3,1035
s3162,46,1,7,1050
s4648,46,1,6,1034
s5670,46,4,7,1035
s790,46,3,6,1396
s6613,46,4,3,1299
s2985,46,5,11,1198
s7364,46,2,2,952
s5200,47,5,4,839
s428,47,1,11,1066
s5544,47,2,9,1002
s999,47,4,8,1075
s4238,47,4,11,1066
s6474,47,4,8,1008
s1187,47,3,7,1288
s362,47,2,6,878
s2166,47,1,2,1088
s3756,47,2,11,844
s258,47,1,9,1018
s3250,47,2,11,1091
s188,47,1,11,1053
s6910,47,4,7,1139
s7083,47,4,9,820
s4716,47,4,4,758
s5084,47,2,4,928
s2383,47,3,12,1188
s4324,47,4,2,712
s2037,47,4,1,815
s4027,48,5,3,1291
s6740,48,4,8,852
s3324,48,1,7,1026
s1572,48,5,10,817
s3575,48,4,11,985
s1073,48,3,4,1333
s2909,48,4,8,701
s7533,48,5,12,740
s5611,48,3,7,1385
s1434,48,5,10,730
s570,48,2,8,1148
s5627,48,2,3,969
s7153,48,3,4,1109
s2682,48,1,12,1089
s2373,48,3,8,1201
s5160,49,1,6,1091
s6581,49,1,6,1007
s5788,49,4,2,1289
s7635,49,2,10,1146
s2380,49,5,12,790
s343,49,5,7,773
s5067,49,3,6,1400
s1253,49,4,9,807
s1312,49,1,7,1053
s5181,49,2,1,939
s4410,49,4,2,715
s2032,49,1,7,1003
s7377,49,1,6,1081
s4358,49,1,12,1032
s6498,49,5,1,793
s280,49,1,12,1079
s2079,49,4,9,993
s6169,49,4,2,1074
s6643,49,1,2,1099
s5720,49,1,7,1049
s3703,49,5,11,755
s4752,49,3,5,1176
s5271,50,2,6,1051
s5118,50,1,12,1090
s5754,50,2,12,1006
s2960,50,3,6,1138
s1902,50,3,12,1256
s6748,50,2,4,1052
s1926,50,5,2,1032
s3005,50,2,9,964
s4679,50,5,7,864
s5613,50,1,2,1032
s4905,50,1,11,1021
s6026,50,1,9,1073
s1428,50,2,1,974
s3609,50,3,7,1185
s6221,50,3,10,1288
s2842,50,2,5,1148
s4389,50,4,3,823
s4488,50,5,9,804
s1571,51,3,6,1197
s7816,51,4,3,788
s2483,51,3,5,1181
s5767,51,1,9,1034
s7980,51,3,10,1360
s4471,51,2,7,811
s6787,51,1,3,1068
s7727,51,5,3,710
s3001,51,2,12,1067
s3583,51,1,2,1080
s7733,51,3,10,1375
s2015,51,2,1,1025
s3523,51,1,9,1053
s7209,51,5,2,783
s2821,51,4,11,804
s7103,51,4,6,893
s3231,51,3,4,1342
s589,52,3,9,1324
s3458,52,4,11,1135
s5842,52,1,10,1047
s3897,52,4,5,1261
s3043,52,3,2,1284
s4454,52,5,11,1233
s3167,52,1,2,1047
s379,52,3,5,1282
s7251,52,2,1,930
s2819,52,2,12,974
s4098,53,1,2,1095
s5528,53,5,4,928
s5370,53,4,10,949
s3710,53,2,6,1173
s1371,53,1,10,1090
s5527,53,3,8,1266
s7944,53,3,12,1169
s984,53,2,5,1090
s7911,53,2,1,1085
s6649,53,4,3,1194
s2582,53,4,3,1163
s647,53,4,5,959
s3874,53,4,8,1263
s5443,53,3,6,1388
s7731,53,4,12,727
s693,53,2,12,1017
s1148,53,2,6,1084
s5059,53,5,12,779
s6559,53,5,7,996
s3047,53,4,4,915
s713,53,1,6,1098
s2236,54,1,12,1023
s5776,54,3,4,1179
s3296,54,3,10,1333
s5622,54,2,7,998
s1397,54,2,2,902
s3378,54,4,5,793
s2193,54,2,6,966
s3922,54,2,9,1081
s3595,54,2,1,909
s3974,54,3,11,1199
s1574,54,2,6,1021
s7477,54,1,2,1011
s4981,54,3,9,1252
s6170,55,3,10,1179
s7021,55,3,11,1209
s1127,55,1,2,1000
s3358,55,1,7,1020
s4452,55,2,12,806
s2650,55,3,11,1323
s4960,55,5,11,857
s3684,55,5,11,784
s5671,55,1,9,1008
s3806,55,4,10,1290
s3199,55,3,3,1293
s2130,55,3,8,1135
s4577,55,4,10,921
s7827,55,1,11,1071
s2334,55,1,11,1051
s3055,55,1,3,1009
s6557,56,3,11,1311
s3165,56,2,6,878
s460,56,2,5,843
s1322,56,1,7,1038
s5838,56,3,7,1133
s7213,56,1,1,1004
s6517,56,3,3,1394
s4052,56,4,10,786
s5021,56,4,2,1152
s6588,56,5,5,713
s705,56,2,10,949
s3955,56,4,6,1116
s3394,56,5,10,1210
s2279,57,4,9,893
s7214,57,1,4,1081
s2783,57,4,3,712
s4695,57,1,10,1010
s4819,57,5,4,1149
s3362,57,3,5,1220
s4617,57,1,9,1048
s2653,57,1,12,1060
s3437,57,5,2,1196
s5931,57,3,9,1321
s1644,57,5,8,1269
s2524,57,1,4,1087
s1438,57,4,8,1184
s736,58,1,2,1065
s824,58,4,4,1001
s4834,58,2,9,878
s2712,58,3,8,1184
s1260,58,4,7,777
s7843,58,3,7,1165
s3138,58,1,6,1095
s3184,58,2,4,897
s1027,58,4,6,1103
s4947,58,4,3,1052
s6207,58,3,9,1180
s5122,58,2,4,816
s3499,58,4,11,1011
s7065,58,4,12,1107
s180,58,2,9,1163
s1094,58,4,1,762
s73,59,1,9,1018
s4207,59,5,11,951
s1232,59,2,2,871
s4088,59,5,3,1139
s4038,59,1,2,1029
s929,59,2,10,1093
s7070,59,1,10,1069
s4702,59,2,1,1184
s3075,59,5,3,1109
s5833,59,2,2,1128
s646,59,1,4,1044
s7464,59,1,12,1091
s3270,59,1,7,1076
s6655,59,1,4,1043
s4629,59,5,12,927
s4826,59,2,10,1030
s6299,59,3,6,1257
s4011,60,2,1,833
s4529,60,2,1,858
s1067,60,1,4,1030
s2185,60,1,10,1099
s4035,60,2,11,1040
s2005,60,5,3,1040
s2074,60,2,3,976
s4126,60,1,3,1026
s2354,60,2,7,1065
s4671,60,3,1,1225
s7790,60,3,12,1278
s5286,60,3,4,1192
s4316,60,4,11,1250
s3130,61,4,1,799
s946,61,1,2,1027
s7085,61,2,8,922
s1158,61,5,4,1184
s7878,61,5,8,1144
s6901,61,4,1,702
s2838,61,5,12,1004
s5476,61,3,2,1181
s553,61,1,3,1034
s2513,61,3,8,1186
s2548,61,1,2,1013
s4063,61,4,1,771
s6148,61,2,7,942
s7853,61,3,1,1130
s4277,61,1,4,1053
s5359,61,5,8,1202
s218,61,4,3,991
s3946,62,2,5,1068
s3944,62,1,3,1090
s4185,62,5,7,1106
s7059,62,2,3,891
s3807,62,3,1,1118
s3635,62,2,1,888
s1464,62,5,10,942
s3185,62,1,8,1055
s3159,62,5,4,1064
s3901,62,1,5,1096
s886,62,1,1,1042
s4765,62,2,5,1037
s1811,62,3,11,1292
s6741,62,2,10,831
s2767,62,5,7,748
s4298,62,3,3,1152
s3850,63,5,1,1239
s278,63,4,9,1236
s2084,63,5,7,827
s3029,63,4,5,1196
s4339,63,3,1,1187
s4219,63,5,2,975
s6507,63,1,1,1091
s7427,63,2,11,960
s1589,63,4,1,994
s1017,63,4,7,948
s2884,63,5,1,1092
s7941,63,1,12,1093
s208,63,2,4,944
s482,63,5,9,828
s5437,63,2,3,1034
s5753,63,3,3,1153
s7256,63,1,11,1050
s1181,63,4,8,923
s6946,63,4,5,927
s5876,63,1,9,1042
s2853,63,3,4,1141
s1892,63,1,12,1001
s2167,63,5,10,726
s4985,63,5,2,730
s3074,63,1,9,1031
s2342,63,4,4,1067
s6259,63,1,11,1006
s5666,63,1,11,1064
s4319,63,1,9,1007
s2734,64,5,12,1032
s3454,64,4,11,1241
s1042,64,5,7,1223
s5066,64,1,6,1073
s1018,64,3,11,1366
s5117,64,2,6,819
s598,64,3,7,1257
s4045,64,5,9,701
s2103,64,2,3,1110
s6677,64,1,9,1034
s400,64,1,8,1010
s2444,64,5,5,826
s1335,64,5,3,1139
s2394,64,3,7,1107
s3387,64,3,8,1151
s7744,64,2,10,959
s4360,65,2,9,1124
s4096,65,5,7,769
s6880,65,2,7,1039
s4043,65,4,12,947
s3929,65,3,7,1387
s630,65,4,7,987
s3175,65,4,7,1057
s5329,65,4,7,862
s1319,65,2,1,1127
s1553,65,4,6,1288
s1467,65,5,8,874
s3627,65,5,11,929
s7870,65,2,11,998
s2975,65,2,2,971
s3596,65,4,2,725
s827,65,4,11,1170
s3017,65,4,10,1288
s5982,66,4,10,1021
s3305,66,4,9,1098
s1315,66,1,12,1096
s6985,66,1,12,1054
s2706,66,4,7,873
s1689,66,3,10,1365
s5092,66,1,10,1030
s796,66,4,4,1128
s4374,66,2,12,945
s7471,66,5,9,1024
s7459,67,4,6,987
s3830,67,2,7,819
s1336,67,4,7,717
s1507,67,2,5,838
s7542,67,3,5,1189
s5674,67,5,2,1061
s3000,67,3,7,1128
s3832,67,3,6,1158
s59,67,3,10,1125
s310,67,2,9,936
s2818,67,2,4,1142
s5827,67,1,4,1078
s6119,68,4,3,1007
s195,68,5,4,1074
s1778,68,4,6,832
s4719,68,4,9,1182
s5898,68,5,8,1043
s6825,68,1,1,1026
s514,68,2,11,1004
s2208,68,1,11,1068
s5923,68,2,4,1057
s6085,68,3,8,1351
s3401,68,3,12,1341
s673,68,1,10,1064
s247,68,5,12,752
s2517,69,4,12,1199
s2608,69,4,11,838
s4181,69,1,2,1054
s943,69,3,8,1338
s1153,69,1,10,1085
s1715,69,3,7,1260
s6171,69,5,6,1207
s5992,69,4,8,750
s7472,70,2,10,1106
s6561,70,4,6,1031
s2637,70,3,8,1367
s1134,70,2,8,1075
s3242,70,1,6,1080
s774,70,2,11,851
s5532,70,2,7,1055
s6410,70,3,6,1189
s2106,70,2,1,819
s6906,70,5,2,949
s1045,70,2,5,857
s2941,70,3,10,1363
s5978,70,3,2,1296
s7487,70,3,3,1368
s359,70,1,2,1030
s404,70,3,6,1101
s2191,70,4,12,1051
s1998,70,4,5,1128
s5672,71,2,9,1003
s5801,71,4,6,1013
s3045,71,4,1,723
s621,71,4,5,716
s6554,71,4,8,829
